mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	3/4	4/4	4	1	1/4	1/4	1		1	43	G2	2	3
1	1	0	1.0	0	3/4	4/4	3	1	1/4	1/4	1		1	55	G3	3	2
1	1	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	1
1	1	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		2	62	D4	4	0
2	2	1	1.0	0	0	4/4	4	1	1/4	1/4	1		1	55	G3	3	17
2	2	1	1.0	0	0	4/4	3	1	1/4	1/4	1		5	59	B3	3	12
2	2	1	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	8
2	2	1	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	4
2	2	2	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		6	54	F#3	3	18
2	2	2	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		3	57	A3	3	13
2	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	9
2	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	5
2	2	3	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		1	55	G3	3	14
2	2	3	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		1	55	G3	3	19
2	2	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	10
2	2	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	6
2	2	4	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		4	52	E3	3	20
2	2	4	0.5	3/4	3/4	4/4	3	1	1/8	1/8	1		1	55	G3	3	15
2	2	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	67	G4	4	11
2	2	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	7
2	2	9/2	0.5	7/8	7/8	4/4	3	1	1/8	1/8	1		3	57	A3	3	16
3	3	5	1.0	0	0	4/4	4	1	1/4	1/4	1		5	47	B2	2	34
3	3	5	1.0	0	0	4/4	3	1	1/4	1/4	1		5	59	B3	3	30
3	3	5	1.0	0	0	4/4	2	1	1/4	1/4	1		1	67	G4	4	25
3	3	5	1.5	0	0	4/4	1	1	3/8	1/4	3/2		2	74	D5	5	21
3	3	6	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		2	50	D3	3	35
3	3	6	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		3	57	A3	3	31
3	3	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		6	66	F#4	4	26
3	3	13/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	22
3	3	7	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		1	43	G2	2	36
3	3	7	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		1	55	G3	3	32
3	3	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	27
3	3	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	23
3	3	8	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		0	48	C3	3	37
3	3	8	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		1	55	G3	3	33
3	3	8	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		0	60	C4	4	28
3	3	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	24
3	3	17/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	29
4	4	9	1.0	0	0	4/4	4	1	1/4	1/4	1		2	50	D3	3	52
