mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	5
1	0	0	0.5	0	3/4	4/4	2	1	1/8	1/8	1		6	54	F#3	3	3
1	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		3	57	A3	3	2
1	0	0	0.5	0	3/4	4/4	1	1	1/8	1/8	1		2	62	D4	4	0
1	0	1/2	0.5	1/8	7/8	4/4	2	1	1/8	1/8	1		1	55	G3	3	4
1	0	1/2	0.5	1/8	7/8	4/4	1	1	1/8	1/8	1		4	64	E4	4	1
2	1	1	0.5	0	0	4/4	2	2	1/8	1/8	1		2	50	D3	3	20
2	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	15
2	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4	10
2	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		6	66	F#4	4	6
2	1	3/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	21
2	1	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	22
2	1	2	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		1	55	G3	3	16
2	1	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	11
2	1	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	7
2	1	5/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		6	54	F#3	3	17
2	1	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		7	49	C#3	3	23
2	1	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	52	E3	3	18
2	1	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	12
2	1	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	8
2	1	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	24
2	1	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		6	54	F#3	3	19
2	1	4	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	13
2	1	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	9
2	1	9/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		7	61	C#4	4	14
3	2	5	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	38
3	2	5	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	34
3	2	5	0.5	0	0	4/4	1	2	1/8	1/8	1		5	59	B3	3	29
3	2	5	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	25
3	2	11/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		7	61	C#4	4	30
3	2	6	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		6	54	F#3	3	39
3	2	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	35
3	2	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	31
3	2	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	26
3	2	13/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	40
3	2	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	36
3	2	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		3	57	A3	3	41
3	2	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		7	61	C#4	4	32
3	2	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4	27
3	2	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	37
3	2	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		7	61	C#4	4	42
3	2	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	33
3	2	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	28
4	3	9	1.0	0	0	4/4	2	2	1/4	1/4	1		5	59	B3	3	56
4	3	9	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	52
4	3	9	0.5	0	0	4/4	1	2	1/8	1/8	1		6	66	F#4	4	47
4	3	9	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	43
4	3	19/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	48
4	3	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	57
4	3	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	53
4	3	10	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	49
4	3	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	44
4	3	11	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		8	56	G#3	3	58
4	3	11	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4	54
4	3	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		5	71	B4	4	50
4	3	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	45
4	3	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	59
4	3	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	55
4	3	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	51
4	3	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	46
5	642	13	1.0	0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	69
5	642	13	1.0	0	0	4/4	2	1	1/4	1/4	1		6	66	F#4	4	65
5	642	13	1.0	0	0	4/4	1	2	1/4	1/4	1		3	69	A4	4	62
5	642	13	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	60
5	642	14	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	70
5	642	14	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	66
5	642	14	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	63
5	642	29/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	67
5	642	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		3	45	A2	2	71
5	642	15	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		7	61	C#4	4	68
5	642	15	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	64
5	642	15	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	61
6	643	16	0.5	0	3/4	4/4	2	2	1/8	1/8	1		3	57	A3	3	76
6	643	16	0.5	0	3/4	4/4	2	1	1/8	1/8	1		7	61	C#4	4	74
6	643	16	1.0	0	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	73
6	643	16	1.0	0	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	72
6	643	33/2	0.5	1/8	7/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	77
6	643	33/2	0.5	1/8	7/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	75
7	6	17	0.5	0	0	4/4	2	2	1/8	1/8	1		6	54	F#3	3	93
7	6	17	0.5	0	0	4/4	2	1	1/8	1/8	1		3	57	A3	3	87
7	6	17	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	82
7	6	17	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	78
7	6	35/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	94
7	6	35/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54	F#3	3	88
7	6	18	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		4	52	E3	3	95
7	6	18	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		1	55	G3	3	89
7	6	18	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	83
7	6	18	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	79
7	6	37/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	96
7	6	37/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	90
7	6	19	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		1	55	G3	3	97
7	6	19	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	91
7	6	19	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		2	62	D4	4	84
7	6	19	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	80
7	6	39/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	98
7	6	39/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	85
7	6	20	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		4	52	E3	3	99
7	6	20	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	92
7	6	20	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	86
7	6	20	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	81
7	6	41/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		9	51	D#3	3	100
8	7	21	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	116
8	7	21	0.5	0	0	4/4	2	1	1/8	1/8	1		5	59	B3	3	111
8	7	21	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	105
8	7	21	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	101
8	7	43/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	112
8	7	22	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		6	54	F#3	3	117
8	7	22	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		3	57	A3	3	106
8	7	22	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	113
8	7	22	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	102
8	7	45/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		8	56	G#3	3	118
8	7	45/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		5	59	B3	3	107
8	7	23	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	114
8	7	23	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		3	57	A3	3	119
8	7	23	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		7	61	C#4	4	108
8	7	23	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4	103
8	7	24	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	120
8	7	24	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	115
8	7	24	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	109
8	7	24	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	104
8	7	49/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	110
