mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.5	0	3/4	4/4	2	2	1/8	1/8	1		-2	58	Bb3	3	3
1	0	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	2
1	0	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	1
1	0	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	0
1	0	1/2	1/2	0.5	1/8	7/8	4/4	2	2	1/8	1/8	1		3	57	A3	3	4
2	1	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	12
2	1	1	1	0.5	0	0	4/4	2	1	1/8	1/8	1		2	62	D4	4	9
2	1	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	7
2	1	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	5
2	1	3/2	3/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		-3	63	Eb4	4	10
2	1	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	13
2	1	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-1	65	F4	4	11
2	1	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		-4	68	Ab4	4	8
2	1	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	6
3	482	3	3	1.0	0	1/2	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	21
3	482	3	3	0.5	0	1/2	4/4	2	1	1/8	1/8	1		-3	63	Eb4	4	18
3	482	3	3	1.0	0	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	16
3	482	3	3	1.0	0	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	14
3	482	7/2	7/2	0.5	1/8	5/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	19
3	482	4	4	1.0	1/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	22
3	482	4	4	1.0	1/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	20
3	482	4	4	1.0	1/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	17
3	482	4	4	1.0	1/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	15
4	3	5	5	1.0	0	0	4/4	2	2	1/4	1/4	1		-1	53	F3	3	36
4	3	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	32
4	3	5	5	0.5	0	0	4/4	1	2	1/8	1/8	1		1	67	G4	4	27
4	3	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1		-4	68	Ab4	4	23
4	3	11/2	11/2	1.0	1/8	1/8	4/4	1	2	1/4	1/4	1		-1	65	F4	4	28
4	3	6	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	37
4	3	6	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	33
4	3	6	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	24
4	3	13/2	13/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	29
4	3	7	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-1	41	F2	2	38
4	3	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	34
4	3	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-1	65	F4	4	25
4	3	7	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		-1	65	F4	4	30
4	3	8	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	39
4	3	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	35
4	3	8	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	31
4	3	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	26
5	4	9	9	1.0	0	0	4/4	2	2	1/4	1/4	1		-2	46	Bb2	2	54
5	4	9	9	0.5	0	0	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	49
5	4	9	9	1.0	0	0	4/4	1	2	1/4	1/4	1		-1	65	F4	4	45
5	4	9	9	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	40
5	4	19/2	19/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	50
5	4	10	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	55
5	4	10	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	51
5	4	10	10	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	46
5	4	10	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	41
5	4	11	11	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	56
5	4	11	11	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-1	53	F3	3	52
5	4	11	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		-1	65	F4	4	47
5	4	11	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	42
5	4	12	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	57
5	4	12	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		0	60	C4	4	48
5	4	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	53
5	4	12	12	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		3	69	A4	4	43
5	4	25/2	25/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	44
6	485	13	13	1.0	0	0	4/4	2	2	1/4	1/4	1		-1	53	F3	3	68
6	485	13	13	0.5	0	0	4/4	1	2	1/8	1/8	1		0	60	C4	4	61
6	485	13	13	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	65
6	485	13	13	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	58
6	485	27/2	27/2	1.0	1/8	1/8	4/4	1	2	1/4	1/4	1		-1	65	F4	4	62
6	485	14	14	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	69
6	485	14	14	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	66
6	485	14	14	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	59
6	485	29/2	29/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	63
6	485	15	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-1	41	F2	2	70
6	485	15	15	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	67
6	485	15	15	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		0	60	C4	4	64
6	485	15	15	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-1	65	F4	4	60
7	486	16	16	1.0	0	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	74
7	486	16	16	1.0	0	3/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	73
7	486	16	16	1.0	0	3/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	72
7	486	16	16	1.0	0	3/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	71
8	487	17	17	1.0	0	0	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	82
8	487	17	17	0.5	0	0	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	79
8	487	17	17	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	77
8	487	17	17	1.0	0	0	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	75
8	487	35/2	35/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	80
8	487	18	18	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		-2	46	Bb2	2	83
8	487	18	18	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	81
8	487	18	18	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	78
8	487	18	18	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	76
9	488	19	19	1.0	0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	89
9	488	19	19	0.5	0	0	4/4	2	1	1/8	1/8	1		2	62	D4	4	87
9	488	19	19	0.5	0	0	4/4	1	2	1/8	1/8	1		-2	70	Bb4	4	85
9	488	19	19	1.0	0	0	4/4	1	1	1/4	1/4	1		-1	77	F5	5	84
9	488	39/2	39/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	88
9	488	39/2	39/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	86
10	9	20	20	1.0	0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	106
10	9	20	20	0.5	0	0	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	100
10	9	20	20	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	94
10	9	20	20	1.0	0	0	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	90
10	9	41/2	41/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	101
10	9	21	21	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		-2	58	Bb3	3	107
10	9	21	21	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	102
10	9	21	21	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		-1	65	F4	4	95
10	9	21	21	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	91
10	9	43/2	43/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		-3	63	Eb4	4	103
10	9	43/2	43/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	96
10	9	22	22	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	108
10	9	22	22	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-1	65	F4	4	104
10	9	22	22	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	97
10	9	22	22	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	92
10	9	23	23	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	109
10	9	23	23	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-1	65	F4	4	105
10	9	23	23	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		-2	70	Bb4	4	98
10	9	23	23	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	93
10	9	47/2	47/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		-4	68	Ab4	4	99
