mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
17	16	64	64	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		6	66	F#4	4	264
17	16	129/2	129/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	283
17	16	129/2	129/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	265
18	17	65	65	0.5	0	0	4/4	2	2	1/8	1/8	1		6	54	F#3	3	292
18	17	65	65	0.5	0	0	4/4	1	2	1/8	1/8	1		2	62	D4	4	286
18	17	65	65	3.0	0	0	4/4	2	1	3/4	1/2	3/2		2	62	D4	4	290
18	17	65	65	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	284
18	17	131/2	131/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	293
18	17	131/2	131/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	287
18	17	66	66	2.0	1/4	1/4	4/4	2	2	1/2	1/2	1		3	57	A3	3	294
18	17	66	66	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	288
18	17	67	67	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		4	64	E4	4	289
18	17	67	67	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	285
18	17	68	68	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	295
18	17	68	68	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	291
19	18	69	69	3.0	0	0	4/4	2	2	3/4	1/2	3/2		2	50	D3	3	299
19	18	69	69	3.0	0	0	4/4	2	1	3/4	1/2	3/2		3	57	A3	3	298
19	18	69	69	3.0	0	0	4/4	1	2	3/4	1/2	3/2		2	62	D4	4	297
19	18	69	69	3.0	0	0	4/4	1	1	3/4	1/2	3/2		6	66	F#4	4	296
