mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	3
1	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	2
1	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	1
1	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	0
2	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		0	48	C3	3	20
2	1	1	0.5	0	0	4/4	2	1	1/8	1/8	1		0	60	C4	4	15
2	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	10
2	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	4
2	1	3/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	16
2	1	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	21
2	1	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	17
2	1	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	11
2	1	2	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		2	74	D5	5	5
2	1	5/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	6
2	1	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3	22
2	1	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3	18
2	1	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	12
2	1	3	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		5	71	B4	4	7
2	1	7/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	8
2	1	4	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		5	47	B2	2	23
2	1	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	19
2	1	4	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	13
2	1	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	9
2	1	9/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	24
2	1	9/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	14
3	2	5	2.0	0	0	4/4	2	2	1/2	1/2	1		2	50	D3	3	34
3	2	5	2.0	0	0	4/4	2	1	1/2	1/2	1		2	62	D4	4	31
3	2	5	2.0	0	0	4/4	1	2	1/2	1/2	1		6	66	F#4	4	28
3	2	5	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	25
3	2	7	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		1	55	G3	3	35
3	2	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	32
3	2	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	29
3	2	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	26
3	2	15/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	36
