mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1.0		6	54	F#3	3	5
1	0	0	0.5	0	3/4	4/4	2	1	1/8	1/8	1.0		6	66	F#4	4	3
1	0	0	0.5	0	3/4	4/4	1	2	1/8	1/8	1.0		3	69	A4	4	1
1	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1.0		7	73	C#5	5	0
1	0	1/2	0.5	1/8	7/8	4/4	2	1	1/8	1/8	1.0		4	64	E4	4	4
1	0	1/2	0.5	1/8	7/8	4/4	1	2	1/8	1/8	1.0		8	68	G#4	4	2
2	2	1	0.5	0	1/4	4/4	2	2	1/8	1/8	1.0		5	59	B3	3	18
2	2	1	0.5	0	1/4	4/4	2	1	1/8	1/8	1.0		2	62	D4	4	13
2	2	1	1.0	0	1/4	4/4	1	2	1/4	1/4	1.0		6	66	F#4	4	9
2	2	1	1.0	0	1/4	4/4	1	1	1/4	1/4	1.0		2	74	D5	5	6
2	2	3/2	0.5	1/8	3/8	4/4	2	2	1/8	1/8	1.0		3	57	A3	3	19
2	2	3/2	0.5	1/8	3/8	4/4	2	1	1/8	1/8	1.0		7	61	C#4	4	14
2	2	2	0.5	1/4	1/2	4/4	2	2	1/8	1/8	1.0		8	56	G#3	3	20
2	2	2	1.0	1/4	1/2	4/4	2	1	1/4	1/4	1.0		5	59	B3	3	15
2	2	2	0.5	1/4	1/2	4/4	1	2	1/8	1/8	1.0		5	71	B4	4	10
2	2	2	1.0	1/4	1/2	4/4	1	1	1/4	1/4	1.0		4	76	E5	5	7
2	2	5/2	0.5	3/8	5/8	4/4	2	2	1/8	1/8	1.0		6	54	F#3	3	21
2	2	5/2	0.5	3/8	5/8	4/4	1	2	1/8	1/8	1.0		3	69	A4	4	11
2	2	3	1.0	1/2	3/4	4/4	2	2	1/4	1/4	1.0		4	52	E3	3	22
2	2	3	0.5	1/2	3/4	4/4	2	1	1/8	1/8	1.0		7	61	C#4	4	16
2	2	3	1.0	1/2	3/4	4/4	1	2	1/4	1/4	1.0		8	68	G#4	4	12
2	2	3	1.0	1/2	3/4	4/4	1	1	1/4	1/4	1.0		4	76	E5	5	8
2	2	7/2	0.5	5/8	7/8	4/4	2	1	1/8	1/8	1.0		5	59	B3	3	17
3	2	4	0.5	0	0	4/4	2	2	1/8	1/8	1.0		6	54	F#3	3	38
3	2	4	0.5	0	0	4/4	2	1	1/8	1/8	1.0		3	57	A3	3	32
3	2	4	1.0	0	0	4/4	1	2	1/4	1/4	1.0		6	66	F#4	4	27
3	2	4	1.0	0	0	4/4	1	1	1/4	1/4	1.0		2	74	D5	5	23
3	2	9/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1.0		8	56	G#3	3	39
3	2	9/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1.0		5	59	B3	3	33
3	2	5	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1.0		3	57	A3	3	40
3	2	5	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1.0		7	61	C#4	4	34
3	2	5	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1.0		4	64	E4	4	28
3	2	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1.0		7	73	C#5	5	24
