mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		1	43	G2	2	5
1	1	0	0.5	0	3/4	4/4	2	1	1/8	1/8	1		5	59	B3	3	3
1	1	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	2
1	1	0	0.5	0	3/4	4/4	1	1	1/8	1/8	1		1	67	G4	4	0
1	1	1/2	0.5	1/8	7/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	4
1	1	1/2	0.5	1/8	7/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	1
2	2	1	0.5	0	0	4/4	2	2	1/8	1/8	1		1	55	G3	3	20
2	2	1	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	15
2	2	1	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	10
2	2	1	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	6
2	2	3/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	21
2	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	22
2	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	16
2	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	11
2	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	7
2	2	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	23
2	2	3	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		3	57	A3	3	17
2	2	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	12
2	2	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	8
2	2	7/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	18
2	2	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	24
2	2	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	19
2	2	4	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	13
2	2	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	9
2	2	9/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	14
3	3	5	0.5	0	0	4/4	2	2	1/8	1/8	1		5	47	B2	2	37
3	3	5	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	33
3	3	5	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	29
3	3	5	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	25
3	3	11/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	38
3	3	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	39
3	3	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	34
3	3	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	30
3	3	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	26
3	3	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		1	43	G2	2	40
3	3	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	35
3	3	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	31
3	3	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	27
3	3	8	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		1	55	G3	3	41
3	3	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	36
3	3	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	32
3	3	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	28
3	3	17/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	42
4	4	9	0.5	0	0	4/4	2	2	1/8	1/8	1		4	52	E3	3	57
4	4	9	3.0	0	0	4/4	2	1	3/4	1/2	3/2		1	55	G3	3	54
4	4	9	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	49
4	4	9	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	43
4	4	19/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	58
4	4	10	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		0	48	C3	3	59
4	4	10	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	50
4	4	10	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		3	69	A4	4	44
4	4	21/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	60
4	4	21/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	51
4	4	21/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	45
4	4	11	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		3	45	A2	2	61
4	4	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		0	60	C4	4	52
4	4	11	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		0	72	C5	5	46
4	4	23/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		1	43	G2	2	62
4	4	23/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	47
4	4	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	42	F#2	2	63
4	4	12	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		0	60	C4	4	55
4	4	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	53
4	4	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	48
4	4	25/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	56
5	5	13	0.5	0	0	4/4	2	2	1/8	1/8	1		5	47	B2	2	76
5	5	13	0.5	0	0	4/4	1	2	1/8	1/8	1		2	62	D4	4	67
5	5	13	0.5	0	0	4/4	2	1	1/8	1/8	1		2	62	D4	4	71
5	5	13	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	64
5	5	27/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		1	43	G2	2	77
5	5	27/2	0.25	1/8	1/8	4/4	2	1	1/16	1/16	1		0	60	C4	4	72
5	5	27/2	1.0	1/8	1/8	4/4	1	2	1/4	1/4	1		1	67	G4	4	68
5	5	55/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1		5	59	B3	3	73
5	5	14	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	78
5	5	14	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	74
5	5	14	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	65
5	5	29/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	69
5	5	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		1	43	G2	2	79
5	5	15	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	75
5	5	15	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	70
5	5	15	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	66
6	6	16	1.0	0	3/4	4/4	2	2	1/4	1/4	1		1	43	G2	2	83
6	6	16	1.0	0	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	82
6	6	16	1.0	0	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	81
